symbol	logfc	group
Bcan	-0.2028606647709919	thisxbp
Bcap31	0.151383849450897	thisxbp
Bcat1	0.06090265513746276	thisxbp
Bckdha	0.00123443062199285	thisxbp
Bclaf1	0.3886179939151904	thisxbp
Bcs1l	-0.00171344586484309	thisxbp
Bdh1	-0.01640364637249838	thisxbp
Begain	-0.18080499992753188	thisxbp
Bin1	-0.03068811020602516	thisxbp
Bles03	-0.11715834363850236	thisxbp
Blmh	0.01068248637564056	thisxbp
Bphl	0.00866771730719406	thisxbp
Brinp1	-0.03919575862239197	thisxbp
Brsk1	-0.00959213546043956	thisxbp
Bsg	0.04190884941916201	thisxbp
Bsn	-0.0748722449061259	thisxbp
Bub3	0.0993496805905043	thisxbp
C1qb	-0.10323405393911315	thisxbp
C1qbp	-0.01224700198750002	thisxbp
C2cd2l	0.06211368533218946	thisxbp
Ca2	-0.07121084350697512	thisxbp
Cab39	-0.038840046309715603	thisxbp
Cacna1e	-0.20626116291756624	thisxbp
Cacna2d1	0.03249704590896216	thisxbp
Cacna2d3	-0.24257018497955343	thisxbp
Cadm1	0.01482693192923273	thisxbp
Cadm2	0.08907650811451087	thisxbp
Cadm4	-0.00219927332343028	thisxbp
Cadps	-0.05852141234091791	thisxbp
Calb1	0.1259033109175629	thisxbp
Calb2	0.5605969997881055	thisxbp
Calm1	-0.20533717616154207	thisxbp
Calr	-0.07717170558910715	thisxbp
Camk1d	-0.26455318422664376	thisxbp
Camk2a	-0.26718836327201023	thisxbp
Camk2b	-0.12840487358856578	thisxbp
Camk2d	0.16042026279569557	thisxbp
Camk2g	0.02467977018919503	thisxbp
Camk4	-0.00931500258704319	thisxbp
Camkk2	-0.0333449525759293	thisxbp
Camkv	-0.1955524506063455	thisxbp
Camsap2	-0.0630329672136962	thisxbp
Cand1	0.00677222303490578	thisxbp
Canx	0.05553344806334866	thisxbp
Cap1	-0.11056485623227837	thisxbp
Cap2	-0.143171311437321	thisxbp
Capn2	0.12597098395481204	thisxbp
Capn5	-0.19680519646246336	thisxbp
Capza2	-0.17046655983711095	thisxbp
Capzb	-0.11141126159821904	thisxbp
Carkd	-0.0061340578029917	thisxbp
Cars	0.11511455002954418	thisxbp
Caskin1	0.10767451955198544	thisxbp
Cbr1	-6.763851472340668e-4	thisxbp
Cbr3	-0.1369159380773045	thisxbp
Cbx3	0.3498453234850647	thisxbp
Cbx5	0.35845454877519645	thisxbp
Ccar2	0.394357902140711	thisxbp
Ccdc132	-0.08846608589457192	thisxbp
Ccdc177	-0.1597017366998558	thisxbp
Ccdc47	0.04541537041560208	thisxbp
Ccdc6	-0.00169870755792002	thisxbp
Ccsap	-0.08661856270142129	thisxbp
Cct2	0.00680187277818834	thisxbp
Cct3	-0.02335785931461334	thisxbp
Cct4	0.02451367507863277	thisxbp
Cct5	0.01014538562045769	thisxbp
Cct6a	0.01761533325176095	thisxbp
Cct7	-0.02927441871331511	thisxbp
Cct8	-0.00690195781986956	thisxbp
Cdc37	0.08798307893649954	thisxbp
Cdc42bpb	0.04020556567312226	thisxbp
Cdipt	0.13299429877921032	thisxbp
Cdk5	0.00265741561355038	thisxbp
Cds2	0.0904793104573863	thisxbp
Celf2	0.14138013201388747	thisxbp
Cep170	0.07286571124900704	thisxbp
Cep170b	-0.01203301183932902	thisxbp
Cfl1	-0.08894058797199361	thisxbp
Cfl2	-0.03675739646350075	thisxbp
Chchd3	0.0444341888509204	thisxbp
Chd4	0.19978272548629833	thisxbp
Chmp4b	0.04811050737227471	thisxbp
Cit	0.33679338648917073	thisxbp
Ckap4	0.06059793007367298	thisxbp
Ckap5	0.03574762893842827	thisxbp
Ckb	0.03317424695912077	thisxbp
Ckmt1	0.01542044341551307	thisxbp
Clasp1	0.08353635056356559	thisxbp
Clasp2	0.03929101790005808	thisxbp
Clip1	-0.02254067470909957	thisxbp
Clip2	-0.01176571391185551	thisxbp
Clmn	-0.05319487682063455	thisxbp
Clpp	-0.05196760328367623	thisxbp
Clstn1	-0.0426970482161552	thisxbp
Clta	0.30740765562310995	thisxbp
Cltb	0.28530140624520633	thisxbp
Cltc	-0.04836817743553061	thisxbp
Clu	-0.07797582723735097	thisxbp
Clvs1	0.02547032207367414	thisxbp
Clybl	0.01097097939063587	thisxbp
Cmas	0.2643324914580753	thisxbp
Cmpk1	0.03208973210260316	thisxbp
Cmpk2	-0.07354900258796301	thisxbp
Cndp2	-0.00244091197039609	thisxbp
Cnksr2	-0.28657028370871496	thisxbp
Cnot1	0.1042830375814916	thisxbp
Cnp	-0.12595694230055585	thisxbp
Cnpy2	0.05700481874984864	thisxbp
Cntn1	-0.10705633979299338	thisxbp
Cntn2	-0.02922590093524128	thisxbp
Cntnap1	-0.11474403914084584	thisxbp
Cntnap2	-0.05749778647545316	thisxbp
Copa	0.09175301733506284	thisxbp
Copb1	0.06303171918273326	thisxbp
Copb2	0.05650792049843337	thisxbp
Copg1	0.11175892450338933	thisxbp
Cops3	0.01073348809462387	thisxbp
Cops4	-0.01745324071662649	thisxbp
Copz1	-0.12053806472236842	thisxbp
Coro1a	-0.18424834038683296	thisxbp
Coro1b	0.02969326053666324	thisxbp
Coro1c	-0.03716367695894473	thisxbp
Coro2a	0.0127419166770224	thisxbp
Cotl1	-0.1459577257370702	thisxbp
Cox4i1	0.03633973888222625	thisxbp
Cox5a	0.02961961088985282	thisxbp
Cox6b1	0.02689952608948751	thisxbp
Cox6c	0.06777368069529324	thisxbp
Cpne1	-0.0593092576121145	thisxbp
Cpne4	-0.01307998472340143	thisxbp
Cpne6	-0.20070733760506568	thisxbp
Cpne7	-0.18698131149807432	thisxbp
Crk	-0.01109061770331187	thisxbp
Crmp1	-0.00148426034674617	thisxbp
Crocc	0.05109070366216318	thisxbp
Crtac1	0.08237722986547769	thisxbp
Crtc1	-0.1900570178682723	thisxbp
Crym	-0.25246552914258824	thisxbp
Cs	-0.01804633182667664	thisxbp
Csde1	0.06969097491818553	thisxbp
Cse1l	0.05012613064969348	thisxbp
Csnk2a1	0.0633294453977691	thisxbp
Cspg5	0.05679319935665172	thisxbp
Ctbp1	0.00522579283747681	thisxbp
Ctbp2	0.0840606793541645	thisxbp
Ctnna1	0.08721698328013774	thisxbp
Ctnna2	-0.04940142546522497	thisxbp
Ctnnb1	0.00157558362921506	thisxbp
Ctnnd2	3.2439432943284774e-4	thisxbp
Cttn	-0.1699517494338363	thisxbp
Cttnbp2	-0.0180271933858712	thisxbp
Cul1	0.0993347435872303	thisxbp
Cul2	-0.1193230219060064	thisxbp
Cul3	0.00908390529838194	thisxbp
Cul5	-0.01432848720005505	thisxbp
Cyb5r1	0.08591848280320628	thisxbp
Cyb5r3	0.00742026422714883	thisxbp
Cyc1	0.07044557956964825	thisxbp
Cyfip1	-0.14490589012227517	thisxbp
Cyfip2	-0.07555430501919397	thisxbp
Cyp46a1	0.05177094032944929	thisxbp
Daam1	-0.14932886953065985	thisxbp
Dagla	-0.1035899592904354	thisxbp
Dars	-0.03641937075309588	thisxbp
Dbn1	-0.06839033767957015	thisxbp
Dbnl	-0.05767373201374972	thisxbp
Dbt	-0.01219685111888972	thisxbp
Dclk1	0.08431854946405595	thisxbp
Dclk2	0.06548233624474648	thisxbp
Dctn1	0.06639343594981995	thisxbp
Dctn2	0.08429660389152238	thisxbp
Dctn5	0.084590337161079	thisxbp
Ddah1	-0.02430436611111391	thisxbp
Ddb1	-0.01096284021415898	thisxbp
Ddost	0.16027871690500348	thisxbp
Ddt	-0.02238228275963262	thisxbp
Ddx1	0.15373304245289449	thisxbp
Ddx17	0.3401282719427847	thisxbp
Ddx39b	0.18182911188112288	thisxbp
Ddx3x	0.157779740546034	thisxbp
Ddx42	0.22778350797151997	thisxbp
Ddx5	0.25878340264565936	thisxbp
Ddx6	0.1318751396198606	thisxbp
Decr1	0.0348930732538973	thisxbp
Dgkb	-0.1006749152996584	thisxbp
Dgkg	-0.3695251290794616	thisxbp
Dgkq	-0.1306324217237615	thisxbp
Dhcr7	0.449138768752078	thisxbp
Dhrs1	0.05596207807715539	thisxbp
Dhrs7b	0.2191015582602585	thisxbp
Dhx15	0.29934880043948714	thisxbp
Dhx9	0.33773339313703327	thisxbp
Dip2a	-0.01105025526454436	thisxbp
Dip2b	0.03988486467121283	thisxbp
Diras1	-0.10204589274130953	thisxbp
Diras2	-0.1858595479182285	thisxbp
