control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
fad	fx	Q8R326	Pspc1	0.05051905099366963	0.2982399510395268	0.6189736524900883	0.34491354124688417	0.5254341806219318
fad	fx	B0V2N1	Ptprs	-0.052659007029115634	0.29880482325770036	0.6189736524900883	0.34491354124688417	-0.52461239649085
fad	fx	Q8C1A5	Thop1	0.05671091569700355	0.2989995293210953	0.6189736524900883	0.34491354124688417	0.5243294953324665
fad	fx	Q6WQJ1	Dagla	0.06333608401609137	0.3010615802012416	0.6208474999882317	0.34595771392489916	0.5213446631893561
fad	fx	P58252	Eef2	0.053602672423711056	0.3010732926643197	0.6208474999882317	0.34595771392489916	0.5213277677783305
fad	fx	Q8K4G5	Ablim1	-0.05311697055585994	0.3012475612776352	0.6208474999882317	0.34595771392489916	-0.5210764601945124
fad	fx	Q9QXY6	Ehd3	-0.05012997431708628	0.3021628956365847	0.6218099944331499	0.3464940491406092	-0.5197588663028351
fad	fx	Q8VDN2	Atp1a1	-0.0615765359327345	0.3031678893285127	0.6227043948316658	0.346992439996995	-0.5183167998273985
fad	fx	P18572	Bsg	-0.06131487710839942	0.30349543684657976	0.6227043948316658	0.346992439996995	-0.517847834299592
fad	fx	P62754	Rps6	-0.04961549776330199	0.30400247172840944	0.6228233800403308	0.347058742673226	-0.5171228852937297
fad	fx	P62869	Tceb2	0.078317621101014	0.304526702492922	0.6229532680510639	0.34713112076810504	0.51637462015136
fad	fx	Q9D3A9	Ttyh1	-0.07908126441488819	0.30496414492189794	0.6229532680510639	0.34713112076810504	-0.5157512182857504
fad	fx	Q6ZPJ3	Ube2o	-0.051546889440326295	0.30574416210393857	0.6234602032684834	0.3474136026157887	-0.5146418266555378
fad	fx	Q62348	Tsn	0.06449949058807522	0.3061113182594356	0.6234602032684834	0.3474136026157887	0.5141206123603796
fad	fx	Q810U4	Nrcam	0.060370910771037956	0.3065984174069321	0.6235366641399045	0.34745620925958126	0.5134300912077048
fad	fx	Q7M6Y3	Picalm	0.04789890197801064	0.30733931535181586	0.6241283021858984	0.34778589045482966	0.5123818805239476
fad	fx	P53811	Pitpnb	0.05771776796436071	0.3086899755584002	0.6255385550283292	0.34857173214611886	0.5104774736288837
