"","TgXBP1s /
WT","5xFAD /
WT","TgXBP1s-5xFAD /
5xFAD"
"Acad8",-1.15541120872938,-1.80886655853513,1.50785809680668
"Scrn1",0.266808426045318,-1.80640808921825,0.474716650922215
"Fabp3",-0.383169850313598,-1.80237365468801,1.99452914761371
"Inpp1",-0.208713489636563,-1.79580009300815,1.77562978522
"Hnrnpl",0.528547898417443,-1.78750618472757,0.669814207920092
"Gda",-0.565008501005799,-1.75901560284048,0.840144341444807
"Pgp",-0.204729386567712,-1.7461015065308,2.26160780729551
"Gpt",-0.455539720632203,-1.74506078733816,1.66146929106758
"Itpka",-2.17002462505923,-1.74205573689871,-0.10508477104575
"Tra2a",0.599384581387399,-1.7346493708609,-0.00145360879854844
"Isca2",0.361195819240529,-1.71693939823991,2.05925260550084
"Rad23b",-0.165025916479521,-1.71248008873696,0.931430805019959
"Stip1",0.189073556541613,-1.67821391233967,2.34709991199387
"Xpnpep1",-0.857037185431793,-1.67101389787055,0.939508168759444
"Acaa2",-0.731402386619252,-1.66992987978358,0.172139137776815
"Set",0.443126286687623,-1.661031579899,2.83956883685658
"Sri",-0.594983361694774,-1.65631052589215,1.36754792304099
"Vbp1",0.811230378478911,-1.64428609002491,1.59919678909158
"Ppp5c",-0.255951853482527,-1.63788517945725,2.48761448563079
"Epb41l3",1.01592643049541,-1.63364586280482,0.483829274254066
"Tppp",-1.11718944362753,-1.63279020640622,1.20840389360594
"Khsrp",1.08827482741941,-1.62698345904843,1.35902048503065
"Eif4h",-0.23580165422906,-1.6138439867832,1.54677350221555
"Etfb",0.0347866175306502,-1.6025806692478,1.9033827047637
"Tsn",1.00047111599551,-1.60099911480023,0.51412061236038
"Dld",-0.465883757211677,-1.59176955139025,0.457003602879938
"Rps21",0.467953694605469,-1.58876442324352,1.51498221769273
"Hprt1",-0.316145179472455,-1.58494048817767,0.611060223700255
"Epn1",-0.993561985508373,-1.57696156468003,2.27840615280447
"Dagla",-0.645180833306423,-1.57199283049675,0.521344663189356
"Agrn",0.0952373204721301,-1.54517387918672,0.156848458325915
"Dlst",0.504464059335871,-1.54391948777338,0.47823572731517
"Actb",-1.36682149187097,-1.52969915765624,0.711069109648193
"Nudt3",-0.857194507715923,-1.50708542996274,0.437798953947747
"Myg1",-0.0861595215511275,-1.48195226267788,1.15894054113823
"Prdx3",0.571659819202424,-1.47947783979768,2.10738804412708
"Actr3",-1.25713117926431,-1.47852434243902,2.11862938944399
"Dtd1",0.137217457116366,-1.47665337039476,1.40356112053042
"Aak1",-1.15297364615332,-1.46169559953698,0.731168670115035
"Impa1",-0.153387259029434,-1.45699412660051,1.82156650482621
"Atp6v1g2",-0.839502407285841,-1.45584363868035,1.12822769454624
"Tpm4",0.526618452219077,-1.43994806485236,1.05877829388679
"Hagh",-0.384265913759259,-1.43727780220527,1.24244551076842
"Psip1",0.442039314072301,-1.43429761762738,0.33369757180082
"Ppp1r9b",-0.666754119382267,-1.42831594752848,0.814373159625976
"Bphl",0.0542136999353653,-1.41267126959292,2.09835240820551
"Hnrnpu",0.590593699375734,-1.40561836148644,1.11375767327727
"Slmap",-0.150779201646377,-1.39666113250202,-0.393344937837362
"Tgm2",0.0662355419076339,-1.37071173106457,-0.133236379917095
"Lppr4",-1.70978830614876,-1.36773141168898,-0.117054142383944
"Pabpn1",0.935501543373896,-1.35022939843593,1.59420430714268
"Ube2l3",-0.143864399566541,-1.34847024104873,2.99482281917565
"Trove2",0.822925500835652,-1.34300859193311,1.9080515201891
